Question,Choice1,Choice2,Choice3,Choice4,CorrectAnswer
日本の首都は何ですか？,東京,大阪,京都,名古屋,東京
富士山の標高は何メートルですか？,3726,4068,2989,5210,3726
日本の最長の川は何ですか？,信濃川,利根川,荒川,神通川,信濃川
日本の国花は何ですか？,さくら,ひまわり,たんぽぽ,あじさい,さくら
世界で最も人口の多い国はどこですか？,中国,インド,アメリカ,ロシア,中国
世界で最も広い海は何ですか？,太平洋,大西洋,インド洋,北極海,太平洋
日本の最高峰は何ですか？,富士山,剣岳,立山,北岳,富士山
日本の最も長い温泉街はどこですか？,別府,箱根,登別,有馬,箱根
世界で最大の哺乳動物は何ですか？,クジラ,ゾウ,サイ,キリン,クジラ
日本の最も高い山脈は何ですか？,アルプス山脈,秩父山地,石鎚山地,吾妻山地,アルプス山脈
日本の最も深い湖は何ですか？,琵琶湖,洞爺湖,霞ヶ浦,野尻湖,琵琶湖
日本の国鳥は何ですか？,翁,白鳥,鶴,ひばり,翁
日本の最も広い湖は何ですか？,霞ヶ浦,琵琶湖,洞爺湖,野尻湖,琵琶湖
日本の国立公園の数はいくつありますか？,34,28,42,19,34
日本の最も古い神社は何ですか？,伊勢神宮,東大寺,春日大社,平等院,伊勢神宮
日本の最も高い滝は何ですか？,那智の滝,白川の滝,華厳の滝,吉野の滝,那智の滝
日本の最も古い宮殿は何ですか？,紫宸殿,平城宮,京都御所,伏見宮,平城宮
日本の最も長いトンネルは何ですか？,信越新幹線トンネル,関越自動車道トンネル,秩父鉄道トンネル,中央自動車道トンネル,信越新幹線トンネル
日本の最も古い寺院は何ですか？,法隆寺,東大寺,清水寺,金閣寺,法隆寺
日本の最も長い川の源流はどこですか？,信濃川,利根川,荒川,神通川,信濃川
日本の最も古い城は何ですか？,姫路城,岡山城,熊本城,松本城,松本城
日本の最も深い渓谷は何ですか？,屋久島,大阪,立山,北岳,立山
日本の最も小さい都道府県は何ですか？,香川県,鳥取県,徳島県,島根県,香川県
日本の最も大きな島は何ですか？,本州,九州,四国,北海道,本州
日本の最も多い都道府県は何ですか？,東京都,大阪府,京都府,兵庫県,東京都
日本の最も多い言語は何ですか？,日本語,英語,中国語,韓国語,日本語
日本の最も高いビルは何ですか？,あべのハルカス,東京スカイツリー,六本木ヒルズ,森ビル,あべのハルカス
日本の最も広い都道路は何ですか？,中央自動車道,東名高速道路,名神高速道路,関越自動車道,中央自動車道
日本の最も人口の多い都道府県はどこですか？,東京都,大阪府,京都府,神奈川県,東京都